"COUNTRY","Country","WEEK","Week number","GENDER","Gender","AGE","Age","VARIABLE","Variable","YEAR","Year","Value","Flag Codes","Flags"
"IRL","Ireland","31","31","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2023","2023",7,,
"GRC","Greece","49","49","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2020","2020",21,,
"GRC","Greece","49","49","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2021","2021",20,,
"GRC","Greece","49","49","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2022","2022",5.3,,
"DNK","Denmark","11","11","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2020","2020",2,,
"DNK","Denmark","11","11","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2021","2021",0,,
"DNK","Denmark","11","11","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2022","2022",0,,
"DNK","Denmark","11","11","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2023","2023",2.6,,
"GRC","Greece","26","26","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2020","2020",0,,
"GRC","Greece","26","26","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2021","2021",2,,
"GRC","Greece","26","26","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2022","2022",5.1,,
"GRC","Greece","26","26","TOTAL","Total","TOTAL","Total","COVIDPC","COVID-19 deaths (% of All-cause deaths)","2023","2023",0.8,,
"AUS","Australia","33","33","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2020","2020",138,,
"AUS","Australia","33","33","TOTAL","Total","TOTAL","Total","COVIDNB","COVID-19 deaths (number)","2021","2021",22,,
